content,stars,sentiment,is_bot
"Еще раз огромное спасибо Виталине за спокойный и рассудительный подход. Наш мальчик в прекрасном самочувствии и с новыми приятными впечатлениями. А мы с полезными советами Фото видео получали ежедневно Впервые за долгое время мы отдохнули",5,positive,0
"Это наш первый опыт длительной передержки, и мы очень довольны очень внимательный и чуткий догситтер - наш Стич буквально побывал в лагере для собак, да еще и подружился с другими хвостиками во время передержки будем обращаться снова!",5,positive,0
"Когда выбирал знал, что все будет хорошо. Спасибо ) Мы приедем еще много раз) Все довольны ,особенно Тоша",5,positive,0
"Каждый день были видео и пара слов о времяпрепровождении) я была спокойна за собаку",5,positive,0
"Спасибо большое Виталине! Был спокоен за свою Лолку, всё было замечательно!",5,positive,0
"Это лучший опыт передержки нашего пса! Спасибо огромное Виталине. Мы были спокойны, пес довольный и счастливый, побывал на каникулах. Каждый день были фото и видео его будней)) Я очень счастлива, что оставила его у вас",5,positive,0
"Огромное спасибо Виталине! У нас пес в возрасте, но передержку перенес спокойно, она уделяла ему много времени, присылала отчеты, все прошло отлично!",5,positive,0
"Обратились уже не первый раз. Очень довольны. Всегда на связи. Собачки ухоженные и довольные.",5,positive,0
"Все хорошо",2,positive,1
"Все прошло отлично. Собаки довольны)) Догситтер была постоянно на связи. Присылала видео и фото",5,positive,0
"От всего сердца благодарю за заботу о моих собачках!",4,positive,0
"Все прошло хорошо. Я была спокойна, не переживала. Мы были на связи.",5,positive,0
"Спасибо большое Полине, всегда были на связи и я была информирована как ведет себя моя собака! Спасибо большое, обязательно обратимся ещё !",5,positive,0
"Ситтер не справился с моей собакой! У нее началась аллергия после передержки!",1,negative,0
"very responsible person. also walked our dog for long distances. we really happy to have her",5,positive,1
"Передержка прошла очень хорошо, без каких-либо проблем. Собаку забрали здоровую, довольную жизнью, не перекормленную. Нам задержали рейс, догситтер спокойно дождалась нашего приезда. Спасибо Галине за звботу о нашем любимке.",5,positive,0
"К моему огромному сожалению собаку после передержки лечу от цистита.",1,negative,0
"В целом всё нормально, но хотелось бы больше информации о том, как прошел день у моего питомца.",3,"neutral",0
"Не рекомендую данного ситтера. Не соблюдает договоренности по времени!",1,"negative",0
"Собака вернулась голодная, хотя я оставляла достаточно корма на все дни.",2,"negative",0
"После передержки обнаружила на собаке блох. Очень разочарована.",1,"negative",0
"Ожидала большего. Передержка прошла нормально, но на фотографиях видно, что собака скучает и грустит.",3,"neutral",0
"Ситтер опоздал на полчаса без предупреждения. В остальном нормально.",3,"neutral",0
"Не могу сказать, что всё было плохо, но и не идеально. С моей собакой все хорошо, но фотоотчет был очень скудный.",3,"neutral",0
"Услуга оказана нормально, но собака почему-то была напряжена после передержки. Возможно, ей не уделяли достаточно внимания.",3,"neutral",0
"Ситтер отменил передержку всего за час до встречи!!! Неответственный!.",1,"negative",0
"Очень доволен услугами этого сервиса! Всем рекомендую! Пять звезд без сомнения!",5,"positive",1
"Прекрасный сервис, замечательные сотрудники, отличное качество! Собака довольна, хозяин счастлив! Однозначно рекомендую всем владельцам собак!",5,"positive",1
"Однозначно лучшие в своем деле! Моя собака осталась очень довольна! Однозначно 5 звезд из 5 возможных!",5,"positive",1
"Отличный сервис! Профессиональные сотрудники! Высокое качество услуг! Рекомендую всем!",5,"positive",1
"Просто отвратительно! Никогда больше не воспользуюсь услугами этого сервиса! 4 звезды из 5!",4,"negative",1
"Обычный сервис. Ничего особенного. Кошка не пострадала. Три звезды.",3,"neutral",1
"Не плохо, но и не хорошо. Средне. Три звезды. Обычный уровень.",3,"neutral",1
"Средние впечатления от сервиса. Три звезды из пяти. Нормально, но без восторга.",3,"neutral",1
